video,frame,timestamp_sec,rider_track_id,rider_conf,rider_bbox,occupant_count,head_count,helmeted_count,no_helmet_count,matched_occupant_ids,match_scores,raw_overload,confirmed_overload,helmet_status,elapsed_ms,fps
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,7,0.234,M001,0.613,0.0 266.7 319.1 708.2,0,0,0,0,,,0,0,UNKNOWN,29.654,33.722
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,8,0.267,M001,0.770,0.2 291.4 375.1 716.5,1,1,0,1,P001,1.525,0,0,NO_HELMET,26.599,37.595
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,9,0.300,M001,0.650,0.1 287.0 397.8 716.0,0,0,0,0,,,0,0,UNKNOWN,24.953,40.075
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,10,0.334,M001,0.695,0.0 240.2 419.6 712.8,0,0,0,0,,,0,0,UNKNOWN,25.732,38.861
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,11,0.367,M001,0.864,0.6 277.2 455.3 710.2,0,0,0,0,,,0,0,UNKNOWN,45.759,21.854
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,12,0.400,M001,0.919,31.1 283.3 489.1 682.1,0,0,0,0,,,0,0,UNKNOWN,27.141,36.845
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,13,0.434,M001,0.913,90.6 294.6 511.9 658.0,0,0,0,0,,,0,0,UNKNOWN,26.122,38.281
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,14,0.467,M001,0.926,139.8 292.2 538.8 627.3,1,1,0,1,P002,1.613,0,0,NO_HELMET,27.528,36.326
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,15,0.501,M001,0.945,187.0 296.2 563.1 640.1,1,1,0,1,P002,1.618,0,0,NO_HELMET,26.030,38.417
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,16,0.534,M001,0.918,230.9 290.3 588.7 632.0,1,1,0,1,P002,1.619,0,0,NO_HELMET,24.739,40.422
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,17,0.567,M001,0.925,269.5 292.6 609.2 620.5,1,1,0,1,P002,1.621,0,0,NO_HELMET,27.290,36.644
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,18,0.601,M001,0.924,304.8 293.7 630.3 613.0,1,1,0,1,P002,1.624,0,0,NO_HELMET,26.326,37.985
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,19,0.634,M001,0.914,332.0 291.6 653.9 603.9,1,1,0,1,P002,1.624,0,0,NO_HELMET,26.198,38.171
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,20,0.667,M001,0.931,373.6 290.5 672.2 597.0,1,1,0,1,P002,1.625,0,0,NO_HELMET,47.305,21.139
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,21,0.701,M001,0.928,408.8 289.7 691.9 590.2,1,1,0,1,P002,1.624,0,0,NO_HELMET,28.475,35.118
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,22,0.734,M001,0.924,442.8 288.9 710.0 581.7,1,1,0,1,P002,1.616,0,0,NO_HELMET,28.582,34.987
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,23,0.767,M001,0.923,469.5 287.8 729.1 576.3,1,1,0,1,P002,1.624,0,0,NO_HELMET,25.982,38.488
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,24,0.801,M001,0.915,498.7 291.8 743.1 565.9,1,1,0,1,P002,1.623,0,0,NO_HELMET,26.495,37.743
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,25,0.834,M001,0.928,522.5 290.0 759.2 559.8,1,1,0,1,P002,1.624,0,0,NO_HELMET,26.686,37.473
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,26,0.868,M001,0.909,547.6 294.4 775.8 555.8,1,1,0,1,P002,1.626,0,0,NO_HELMET,33.186,30.133
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,27,0.901,M001,0.907,568.3 293.9 793.7 547.2,1,1,0,1,P002,1.623,0,0,NO_HELMET,26.561,37.649
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,28,0.934,M001,0.911,587.3 293.6 805.8 543.2,1,1,0,1,P002,1.623,0,0,NO_HELMET,26.250,38.095
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,29,0.968,M001,0.915,609.8 295.2 821.5 540.3,1,1,0,1,P002,1.624,0,0,NO_HELMET,25.604,39.056
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,30,1.001,M001,0.907,627.6 294.9 835.4 536.0,1,1,0,1,P002,1.628,0,0,NO_HELMET,26.940,37.119
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,31,1.034,M001,0.908,648.3 296.6 847.2 531.2,1,1,0,1,P002,1.626,0,0,NO_HELMET,26.115,38.293
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,32,1.068,M001,0.892,663.3 293.5 861.3 528.5,1,1,0,1,P002,1.623,0,0,NO_HELMET,29.264,34.171
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,33,1.101,M001,0.897,681.3 296.3 874.4 524.1,1,1,0,1,P002,1.627,0,0,NO_HELMET,27.287,36.648
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,34,1.134,M001,0.896,699.3 294.6 889.4 517.8,1,1,0,1,P002,1.612,0,0,NO_HELMET,26.869,37.218
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,35,1.168,M001,0.864,712.4 296.0 898.1 515.1,1,1,0,1,P002,1.628,0,0,NO_HELMET,26.639,37.538
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,36,1.201,M001,0.896,728.5 295.3 909.5 511.0,1,1,0,1,P002,1.626,0,0,NO_HELMET,29.870,33.479
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,37,1.235,M001,0.862,746.9 294.6 920.9 509.0,1,1,0,1,P002,1.612,0,0,NO_HELMET,26.746,37.389
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,38,1.268,M001,0.887,758.3 294.4 931.4 505.9,1,1,0,1,P002,1.626,0,0,NO_HELMET,27.760,36.023
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,39,1.301,M001,0.894,772.5 294.0 942.3 502.4,1,1,0,1,P002,1.620,0,0,NO_HELMET,25.233,39.631
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,40,1.335,M001,0.757,789.5 293.3 948.8 498.0,0,0,0,0,,,0,0,UNKNOWN,25.841,38.698
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,41,1.368,M001,0.881,798.3 296.1 955.5 493.1,1,1,0,1,P002,1.628,0,0,NO_HELMET,25.893,38.621
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,42,1.401,M001,0.842,813.6 292.7 966.1 487.9,1,1,0,1,P002,1.614,0,0,NO_HELMET,46.726,21.401
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,43,1.435,M001,0.585,823.4 289.3 977.6 489.5,0,0,0,0,,,0,0,UNKNOWN,27.896,35.848
