video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/peter/Desktop/视频/原/3.mp4,0,0.000,1,motorcycle,0.483,536.4 356.8 608.1 416.4,,0,,0,0,44.660,22.392
/Users/peter/Desktop/视频/原/3.mp4,1,0.033,1,motorcycle,0.448,535.5 355.0 610.2 416.0,,0,,0,0,45.087,22.180
/Users/peter/Desktop/视频/原/3.mp4,2,0.067,1,motorcycle,0.710,541.4 353.6 613.9 415.9,,0,,0,0,41.035,24.370
/Users/peter/Desktop/视频/原/3.mp4,3,0.100,1,motorcycle,0.513,546.1 354.7 620.8 417.2,,0,,0,0,36.997,27.029
/Users/peter/Desktop/视频/原/3.mp4,3,0.100,2,motorcycle,0.328,204.6 379.0 371.3 481.7, ,2,1.200 1.139,1,0,36.997,27.029
/Users/peter/Desktop/视频/原/3.mp4,4,0.133,2,motorcycle,0.567,214.0 381.8 378.2 481.3,,1,1.200,0,0,35.520,28.153
/Users/peter/Desktop/视频/原/3.mp4,6,0.200,1,motorcycle,0.273,573.5 344.3 635.6 414.7,,1,1.200,0,0,33.594,29.767
/Users/peter/Desktop/视频/原/3.mp4,8,0.267,1,motorcycle,0.486,582.1 350.9 645.9 414.8,,0,,0,0,41.895,23.869
/Users/peter/Desktop/视频/原/3.mp4,9,0.300,1,motorcycle,0.409,598.7 349.3 651.4 414.3,,0,,0,0,33.255,30.071
/Users/peter/Desktop/视频/原/3.mp4,10,0.333,1,motorcycle,0.412,599.2 345.8 654.7 413.3,,0,,0,0,52.498,19.048
/Users/peter/Desktop/视频/原/3.mp4,11,0.367,1,motorcycle,0.419,600.8 342.6 659.6 412.5,,1,1.200,0,0,33.562,29.795
/Users/peter/Desktop/视频/原/3.mp4,12,0.400,1,motorcycle,0.457,611.3 346.9 664.4 411.5,,1,1.200,0,0,35.649,28.051
/Users/peter/Desktop/视频/原/3.mp4,13,0.433,1,motorcycle,0.421,616.0 348.1 667.4 410.3,,1,1.200,0,0,34.948,28.614
/Users/peter/Desktop/视频/原/3.mp4,14,0.467,1,motorcycle,0.480,616.8 344.3 673.0 408.1,,1,1.200,0,0,34.999,28.572
/Users/peter/Desktop/视频/原/3.mp4,14,0.467,3,motorcycle,0.427,0.1 427.0 34.9 493.7,,0,,0,0,34.999,28.572
/Users/peter/Desktop/视频/原/3.mp4,15,0.500,1,motorcycle,0.491,629.3 354.1 675.1 405.4,,1,1.200,0,0,51.455,19.434
/Users/peter/Desktop/视频/原/3.mp4,15,0.500,3,motorcycle,0.368,0.2 420.2 42.3 491.8,,0,,0,0,51.455,19.434
/Users/peter/Desktop/视频/原/3.mp4,16,0.533,1,motorcycle,0.394,631.2 342.3 678.6 403.1,,1,1.200,0,0,33.039,30.267
/Users/peter/Desktop/视频/原/3.mp4,17,0.567,1,motorcycle,0.524,636.1 341.0 682.2 402.5,,1,1.200,0,0,32.546,30.726
