metric,value
cross.total_frames,1537
cross.gt_positive_frames,85
cross.pred_positive_frames,5
cross.tp,3
cross.fp,2
cross.fn,82
cross.tn,1450
cross.precision,0.6000
cross.recall,0.0353
cross.f1,0.0667
cross.accuracy,0.9453
cross.false_positive_rate,0.0014
cross.false_negative_rate,0.9647
cross.avg_fps,30.000
cross.avg_elapsed_ms,NA
cross.fps_is_source_fallback,1
association.total_frames,1537
association.gt_positive_frames,85
association.pred_positive_frames,137
association.tp,67
association.fp,70
association.fn,18
association.tn,1382
association.precision,0.4891
association.recall,0.7882
association.f1,0.6036
association.accuracy,0.9427
association.false_positive_rate,0.0482
association.false_negative_rate,0.2118
association.avg_fps,36.300
association.avg_elapsed_ms,27.548
association.fps_is_source_fallback,0
region.region_bbox,40.3 336.7 905.7 702.6
region.cross_speed_fps,30.000
region.cross_speed_fps_is_source_fallback,1
region.association_speed_fps,36.509
region.association_speed_elapsed_ms,27.445
region.cross_overload_frames,5
region.association_overload_frames,137
region.gt_overload_frames,85
region.association_id_consistency_gt,0.8824
region.association_id_switches_gt,19
region.cross_id_stability_proxy,0.5000
region.cross_id_switch_proxy,2
derived.baseline_label,cross
derived.target_label,association
derived.tracking_improvement_rate_recall,21.3333
derived.tracking_improvement_rate_f1,8.0541
derived.miss_reduction_rate,0.7805
derived.false_positive_rate_reduction,-34.0000
