frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
0,0.000,M002,motorcycle,0.300,383.2 370.4 496.8 461.2,,0,,0,0,27.481,36.389
0,0.000,M001,motorcycle,0.260,587.1 368.4 727.1 480.8,,0,,0,0,27.481,36.389
3,0.100,U001,motorcycle,0.296,405.2 363.8 512.4 459.9,,0,,0,0,26.513,37.717
4,0.133,M001,motorcycle,0.293,587.2 367.6 727.3 480.9,,0,,0,0,27.319,36.605
5,0.167,M001,motorcycle,0.367,586.6 366.7 726.6 481.9,,0,,0,0,25.202,39.679
5,0.167,U002,motorcycle,0.361,431.6 375.0 526.9 452.5,,0,,0,0,25.202,39.679
6,0.200,U001,motorcycle,0.414,442.6 366.6 534.5 449.5,,0,,0,0,33.679,29.692
6,0.200,M001,motorcycle,0.300,586.5 367.6 727.5 481.2,P002,1,1.450,0,0,33.679,29.692
7,0.233,M003,motorcycle,0.584,454.2 367.1 542.1 448.7,,0,,0,0,28.182,35.483
7,0.233,M001,motorcycle,0.410,586.1 367.7 727.6 481.3,P002,1,1.450,0,0,28.182,35.483
8,0.267,M003,motorcycle,0.533,464.8 364.6 546.6 445.7,,0,,0,0,29.565,33.824
8,0.267,M001,motorcycle,0.372,587.1 366.1 727.2 480.6,P002,1,1.450,0,0,29.565,33.824
9,0.300,M003,motorcycle,0.405,473.6 360.4 552.6 440.8,,0,,0,0,30.400,32.894
9,0.300,M001,motorcycle,0.374,587.2 366.5 727.1 480.3,P002,1,1.450,0,0,30.400,32.894
10,0.333,M003,motorcycle,0.623,484.4 359.7 558.0 438.7,P003,1,1.599,0,0,29.228,34.214
10,0.333,M001,motorcycle,0.512,586.2 365.5 726.2 481.5,P002,1,1.450,0,0,29.228,34.214
11,0.367,M003,motorcycle,0.538,492.6 362.4 562.1 436.1,P003,1,1.528,0,0,30.937,32.324
11,0.367,M001,motorcycle,0.494,586.5 363.5 727.4 480.9,P002,1,1.450,0,0,30.937,32.324
12,0.400,M001,motorcycle,0.449,586.8 366.7 727.0 480.8,P002,1,1.450,0,1,29.046,34.428
12,0.400,M003,motorcycle,0.342,500.5 360.9 568.1 432.1,P003,1,1.509,0,0,29.046,34.428
13,0.433,M001,motorcycle,0.455,586.5 368.3 726.3 480.8,P002,1,1.450,0,1,29.034,34.442
14,0.467,M001,motorcycle,0.394,586.3 367.4 725.4 481.2,P002,1,1.450,0,1,29.604,33.780
15,0.500,M001,motorcycle,0.501,585.9 363.9 726.2 481.0,P002,1,1.450,0,0,30.459,32.831
15,0.500,M003,motorcycle,0.482,523.4 354.0 582.1 425.2,P003,1,1.521,0,0,30.459,32.831
16,0.533,M001,motorcycle,0.362,582.2 372.4 724.4 478.2,P002,1,1.559,0,0,30.212,33.100
16,0.533,M003,motorcycle,0.276,528.7 355.2 587.2 422.3,P003,1,1.550,0,1,30.212,33.100
17,0.567,M003,motorcycle,0.412,537.8 354.0 592.4 420.8,P003,1,1.534,0,1,29.285,34.147
17,0.567,M001,motorcycle,0.408,581.0 372.3 723.5 478.5,P002,1,1.597,0,0,29.285,34.147
18,0.600,M001,motorcycle,0.408,581.4 371.6 721.7 478.8,P002,1,1.450,0,0,27.847,35.911
18,0.600,M003,motorcycle,0.284,542.2 352.6 598.0 417.0,P003,1,1.567,0,1,27.847,35.911
19,0.633,M001,motorcycle,0.484,582.4 370.9 721.3 479.4,P002,1,1.450,0,1,27.900,35.843
19,0.633,U002,motorcycle,0.360,1181.6 338.8 1279.4 414.3,,0,,0,0,27.900,35.843
20,0.667,M004,motorcycle,0.569,1173.9 340.6 1279.3 414.6,,0,,0,0,27.564,36.279
20,0.667,M001,motorcycle,0.569,581.8 370.0 720.7 478.7,P002,1,1.450,0,1,27.564,36.279
21,0.700,M004,motorcycle,0.678,1170.2 334.6 1279.3 414.3,,0,,0,0,27.873,35.877
21,0.700,M001,motorcycle,0.575,581.6 370.5 720.6 478.1,P002,1,1.450,0,1,27.873,35.877
21,0.700,M003,motorcycle,0.338,556.2 353.6 602.9 409.2,P003,1,1.599,0,1,27.873,35.877
22,0.733,M001,motorcycle,0.555,576.8 368.7 718.6 477.4,P002,1,1.450,0,1,27.351,36.561
22,0.733,M004,motorcycle,0.407,1154.5 319.8 1279.3 415.4,,0,,0,0,27.351,36.561
23,0.767,M001,motorcycle,0.563,574.2 367.1 718.6 476.8,P002,1,1.600,0,1,27.127,36.863
24,0.800,M001,motorcycle,0.618,574.7 356.1 717.4 480.0,P002,1,1.470,0,1,28.243,35.406
25,0.833,M001,motorcycle,0.596,574.4 370.9 712.7 476.4,P002,1,1.530,0,1,27.942,35.788
26,0.867,M001,motorcycle,0.591,573.7 371.6 710.9 475.8,P002,1,1.450,0,1,27.003,37.033
27,0.900,M001,motorcycle,0.717,573.1 358.0 710.7 478.5,P002,1,1.533,0,1,26.724,37.420
28,0.933,M001,motorcycle,0.745,571.9 358.3 708.5 477.8,P002,1,1.503,0,1,27.511,36.349
28,0.933,U002,motorcycle,0.267,882.3 320.3 948.7 374.3,,0,,0,0,27.511,36.349
29,0.967,M001,motorcycle,0.631,571.3 361.1 699.3 476.5,P002,1,1.523,0,1,25.498,39.219
30,1.000,M001,motorcycle,0.652,570.3 359.7 700.9 475.6,P002 P004,2,1.450 1.431,1,1,26.036,38.408
30,1.000,U002,motorcycle,0.372,1145.1 328.9 1279.2 413.6,,0,,0,0,26.036,38.408
