frame,target_id,wjh_id,yolo_id,cross_iou,wjh_overload,yolov8n_overload,final_overload,ever_final_overload,helmet_status,wjh_person_evidence_count,wjh_no_helmet_count,yolov8n_person_count
258,W002|Y008,W002,Y008,0.7352,0,0,0,0,UNKNOWN,0,0,1
263,W003|Y008,W003,Y008,0.8045,0,0,0,0,UNKNOWN,0,0,1
264,W003|Y008,W003,Y008,0.6959,0,1,0,0,UNKNOWN,0,0,2
265,W003|Y008,W003,Y008,0.6799,0,0,0,0,UNKNOWN,0,0,1
266,W003|Y008,W003,Y008,0.6854,0,0,0,0,UNKNOWN,0,0,1
267,W003|Y008,W003,Y008,0.6253,0,0,0,0,UNKNOWN,0,0,1
268,W003|Y008,W003,Y008,0.6633,0,1,0,0,UNKNOWN,0,0,2
269,W003|Y008,W003,Y008,0.6269,0,0,0,0,UNKNOWN,0,0,1
270,W003|Y008,W003,Y008,0.6882,0,1,0,0,UNKNOWN,0,0,2
271,W003|Y008,W003,Y008,0.6824,0,1,0,0,UNKNOWN,0,0,2
272,W003|Y008,W003,Y008,0.6601,0,1,0,0,UNKNOWN,0,0,3
273,W003|Y008,W003,Y008,0.6118,0,1,0,0,UNKNOWN,0,0,2
274,W003|Y008,W003,Y008,0.5924,0,0,0,0,UNKNOWN,0,0,1
275,W003|Y008,W003,Y008,0.5644,0,0,0,0,UNKNOWN,0,0,1
276,W003|Y008,W003,Y008,0.5817,0,0,0,0,UNKNOWN,0,0,1
277,W003|Y008,W003,Y008,0.6520,0,1,0,0,UNKNOWN,0,0,2
278,W003|Y008,W003,Y008,0.6463,0,0,0,0,UNKNOWN,0,0,1
655,W005|Y021,W005,Y021,0.4428,0,0,0,0,UNKNOWN,0,0,1
656,W005|Y021,W005,Y021,0.4235,0,0,0,0,UNKNOWN,0,0,1
657,W005|Y021,W005,Y021,0.4499,0,0,0,0,UNKNOWN,0,0,1
658,W005|Y021,W005,Y021,0.4384,0,0,0,0,UNKNOWN,0,0,1
662,W005|Y021,W005,Y021,0.4519,0,0,0,0,UNKNOWN,0,0,1
663,W005|Y021,W005,Y021,0.4966,0,0,0,0,UNKNOWN,0,0,1
664,W005|Y021,W005,Y021,0.4506,0,0,0,0,HELMETED,1,0,1
665,W005|Y021,W005,Y021,0.4897,0,0,0,0,HELMETED,0,0,1
666,W005|Y021,W005,Y021,0.4805,0,0,0,0,HELMETED,0,0,1
667,W005|Y021,W005,Y021,0.4741,0,0,0,0,HELMETED,0,0,1
668,W005|Y021,W005,Y021,0.4823,0,0,0,0,HELMETED,0,0,1
669,W005|Y021,W005,Y021,0.4770,0,0,0,0,HELMETED,0,0,1
670,W005|Y021,W005,Y021,0.4740,0,0,0,0,HELMETED,0,0,1
671,W005|Y021,W005,Y021,0.4944,0,0,0,0,HELMETED,0,0,1
672,W006|Y023,W006,Y023,0.7298,0,0,0,0,HELMETED,1,0,0
672,W005|Y021,W005,Y021,0.5134,0,0,0,0,HELMETED,0,0,1
673,W005|Y021,W005,Y021,0.4614,0,0,0,0,HELMETED,0,0,1
674,W005|Y021,W005,Y021,0.4930,0,0,0,0,HELMETED,0,0,1
675,W005|Y021,W005,Y021,0.5487,0,0,0,0,HELMETED,0,0,1
676,W006|Y023,W006,Y023,0.6318,0,0,0,0,NO_HELMET,1,1,1
