frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
0,0.000,baseline,0+1+2,ebike+driver+passenger,21.814,45.841,0,"ebike:0, driver:0, passenger:0"
0,0.000,bifpn,0+1+2,ebike+driver+passenger,21.358,46.821,0,"ebike:0, driver:0, passenger:0"
0,0.000,yolov8n,1+3+0,bicycle+motorcycle+person,22.024,45.406,16,"bicycle:0, motorcycle:6, person:10"
1,0.033,baseline,0+1+2,ebike+driver+passenger,22.222,45.000,0,"ebike:0, driver:0, passenger:0"
1,0.033,bifpn,0+1+2,ebike+driver+passenger,21.801,45.870,0,"ebike:0, driver:0, passenger:0"
1,0.033,yolov8n,1+3+0,bicycle+motorcycle+person,24.912,40.141,15,"bicycle:0, motorcycle:6, person:9"
2,0.067,baseline,0+1+2,ebike+driver+passenger,23.066,43.355,0,"ebike:0, driver:0, passenger:0"
2,0.067,bifpn,0+1+2,ebike+driver+passenger,21.610,46.275,0,"ebike:0, driver:0, passenger:0"
2,0.067,yolov8n,1+3+0,bicycle+motorcycle+person,24.183,41.352,15,"bicycle:0, motorcycle:6, person:9"
3,0.100,baseline,0+1+2,ebike+driver+passenger,23.125,43.244,0,"ebike:0, driver:0, passenger:0"
3,0.100,bifpn,0+1+2,ebike+driver+passenger,21.533,46.439,0,"ebike:0, driver:0, passenger:0"
3,0.100,yolov8n,1+3+0,bicycle+motorcycle+person,22.813,43.834,14,"bicycle:0, motorcycle:5, person:9"
4,0.133,baseline,0+1+2,ebike+driver+passenger,22.329,44.785,0,"ebike:0, driver:0, passenger:0"
4,0.133,bifpn,0+1+2,ebike+driver+passenger,20.223,49.448,0,"ebike:0, driver:0, passenger:0"
4,0.133,yolov8n,1+3+0,bicycle+motorcycle+person,23.526,42.506,14,"bicycle:0, motorcycle:5, person:9"
5,0.167,baseline,0+1+2,ebike+driver+passenger,22.607,44.235,0,"ebike:0, driver:0, passenger:0"
5,0.167,bifpn,0+1+2,ebike+driver+passenger,24.338,41.088,0,"ebike:0, driver:0, passenger:0"
5,0.167,yolov8n,1+3+0,bicycle+motorcycle+person,23.617,42.342,13,"bicycle:0, motorcycle:5, person:8"
6,0.200,baseline,0+1+2,ebike+driver+passenger,22.501,44.443,0,"ebike:0, driver:0, passenger:0"
6,0.200,bifpn,0+1+2,ebike+driver+passenger,22.352,44.739,0,"ebike:0, driver:0, passenger:0"
6,0.200,yolov8n,1+3+0,bicycle+motorcycle+person,23.862,41.908,14,"bicycle:0, motorcycle:5, person:9"
7,0.233,baseline,0+1+2,ebike+driver+passenger,22.925,43.620,0,"ebike:0, driver:0, passenger:0"
7,0.233,bifpn,0+1+2,ebike+driver+passenger,21.797,45.877,0,"ebike:0, driver:0, passenger:0"
7,0.233,yolov8n,1+3+0,bicycle+motorcycle+person,25.394,39.379,14,"bicycle:0, motorcycle:4, person:10"
8,0.267,baseline,0+1+2,ebike+driver+passenger,23.781,42.051,0,"ebike:0, driver:0, passenger:0"
8,0.267,bifpn,0+1+2,ebike+driver+passenger,22.737,43.980,0,"ebike:0, driver:0, passenger:0"
8,0.267,yolov8n,1+3+0,bicycle+motorcycle+person,26.341,37.963,15,"bicycle:0, motorcycle:3, person:12"
9,0.300,baseline,0+1+2,ebike+driver+passenger,23.400,42.734,0,"ebike:0, driver:0, passenger:0"
9,0.300,bifpn,0+1+2,ebike+driver+passenger,24.580,40.683,0,"ebike:0, driver:0, passenger:0"
9,0.300,yolov8n,1+3+0,bicycle+motorcycle+person,25.177,39.718,12,"bicycle:0, motorcycle:2, person:10"
10,0.333,baseline,0+1+2,ebike+driver+passenger,26.790,37.328,0,"ebike:0, driver:0, passenger:0"
10,0.333,bifpn,0+1+2,ebike+driver+passenger,25.858,38.673,0,"ebike:0, driver:0, passenger:0"
10,0.333,yolov8n,1+3+0,bicycle+motorcycle+person,25.402,39.366,13,"bicycle:0, motorcycle:3, person:10"
11,0.367,baseline,0+1+2,ebike+driver+passenger,25.803,38.755,0,"ebike:0, driver:0, passenger:0"
11,0.367,bifpn,0+1+2,ebike+driver+passenger,25.060,39.904,0,"ebike:0, driver:0, passenger:0"
11,0.367,yolov8n,1+3+0,bicycle+motorcycle+person,27.659,36.155,16,"bicycle:0, motorcycle:5, person:11"
12,0.400,baseline,0+1+2,ebike+driver+passenger,25.764,38.813,0,"ebike:0, driver:0, passenger:0"
12,0.400,bifpn,0+1+2,ebike+driver+passenger,25.203,39.677,0,"ebike:0, driver:0, passenger:0"
12,0.400,yolov8n,1+3+0,bicycle+motorcycle+person,25.671,38.954,16,"bicycle:0, motorcycle:4, person:12"
13,0.433,baseline,0+1+2,ebike+driver+passenger,25.237,39.624,0,"ebike:0, driver:0, passenger:0"
13,0.433,bifpn,0+1+2,ebike+driver+passenger,26.053,38.384,0,"ebike:0, driver:0, passenger:0"
13,0.433,yolov8n,1+3+0,bicycle+motorcycle+person,26.321,37.992,13,"bicycle:0, motorcycle:3, person:10"
14,0.467,baseline,0+1+2,ebike+driver+passenger,26.070,38.359,0,"ebike:0, driver:0, passenger:0"
14,0.467,bifpn,0+1+2,ebike+driver+passenger,25.620,39.032,0,"ebike:0, driver:0, passenger:0"
14,0.467,yolov8n,1+3+0,bicycle+motorcycle+person,26.803,37.309,11,"bicycle:0, motorcycle:3, person:8"
15,0.500,baseline,0+1+2,ebike+driver+passenger,26.548,37.667,0,"ebike:0, driver:0, passenger:0"
15,0.500,bifpn,0+1+2,ebike+driver+passenger,25.174,39.724,0,"ebike:0, driver:0, passenger:0"
15,0.500,yolov8n,1+3+0,bicycle+motorcycle+person,26.628,37.555,10,"bicycle:0, motorcycle:3, person:7"
16,0.533,baseline,0+1+2,ebike+driver+passenger,25.995,38.469,0,"ebike:0, driver:0, passenger:0"
16,0.533,bifpn,0+1+2,ebike+driver+passenger,26.146,38.247,0,"ebike:0, driver:0, passenger:0"
16,0.533,yolov8n,1+3+0,bicycle+motorcycle+person,27.551,36.296,13,"bicycle:0, motorcycle:4, person:9"
17,0.567,baseline,0+1+2,ebike+driver+passenger,24.562,40.713,0,"ebike:0, driver:0, passenger:0"
17,0.567,bifpn,0+1+2,ebike+driver+passenger,26.454,37.801,0,"ebike:0, driver:0, passenger:0"
17,0.567,yolov8n,1+3+0,bicycle+motorcycle+person,24.824,40.284,13,"bicycle:0, motorcycle:4, person:9"
18,0.600,baseline,0+1+2,ebike+driver+passenger,25.868,38.658,0,"ebike:0, driver:0, passenger:0"
18,0.600,bifpn,0+1+2,ebike+driver+passenger,24.627,40.605,0,"ebike:0, driver:0, passenger:0"
18,0.600,yolov8n,1+3+0,bicycle+motorcycle+person,25.453,39.289,14,"bicycle:0, motorcycle:3, person:11"
19,0.633,baseline,0+1+2,ebike+driver+passenger,23.548,42.466,0,"ebike:0, driver:0, passenger:0"
19,0.633,bifpn,0+1+2,ebike+driver+passenger,24.455,40.891,0,"ebike:0, driver:0, passenger:0"
19,0.633,yolov8n,1+3+0,bicycle+motorcycle+person,25.849,38.687,13,"bicycle:0, motorcycle:3, person:10"
20,0.667,baseline,0+1+2,ebike+driver+passenger,24.853,40.236,0,"ebike:0, driver:0, passenger:0"
20,0.667,bifpn,0+1+2,ebike+driver+passenger,23.739,42.124,0,"ebike:0, driver:0, passenger:0"
20,0.667,yolov8n,1+3+0,bicycle+motorcycle+person,23.610,42.354,13,"bicycle:0, motorcycle:3, person:10"
21,0.700,baseline,0+1+2,ebike+driver+passenger,25.370,39.416,0,"ebike:0, driver:0, passenger:0"
21,0.700,bifpn,0+1+2,ebike+driver+passenger,26.398,37.881,0,"ebike:0, driver:0, passenger:0"
21,0.700,yolov8n,1+3+0,bicycle+motorcycle+person,28.119,35.563,11,"bicycle:0, motorcycle:3, person:8"
22,0.733,baseline,0+1+2,ebike+driver+passenger,25.786,38.781,0,"ebike:0, driver:0, passenger:0"
22,0.733,bifpn,0+1+2,ebike+driver+passenger,24.245,41.245,0,"ebike:0, driver:0, passenger:0"
22,0.733,yolov8n,1+3+0,bicycle+motorcycle+person,25.714,38.889,10,"bicycle:0, motorcycle:3, person:7"
23,0.767,baseline,0+1+2,ebike+driver+passenger,24.012,41.647,0,"ebike:0, driver:0, passenger:0"
23,0.767,bifpn,0+1+2,ebike+driver+passenger,24.504,40.809,0,"ebike:0, driver:0, passenger:0"
23,0.767,yolov8n,1+3+0,bicycle+motorcycle+person,26.474,37.773,12,"bicycle:0, motorcycle:3, person:9"
24,0.800,baseline,0+1+2,ebike+driver+passenger,26.368,37.925,0,"ebike:0, driver:0, passenger:0"
24,0.800,bifpn,0+1+2,ebike+driver+passenger,23.822,41.978,0,"ebike:0, driver:0, passenger:0"
24,0.800,yolov8n,1+3+0,bicycle+motorcycle+person,25.378,39.405,12,"bicycle:0, motorcycle:4, person:8"
25,0.833,baseline,0+1+2,ebike+driver+passenger,26.697,37.458,0,"ebike:0, driver:0, passenger:0"
25,0.833,bifpn,0+1+2,ebike+driver+passenger,26.398,37.882,0,"ebike:0, driver:0, passenger:0"
25,0.833,yolov8n,1+3+0,bicycle+motorcycle+person,26.613,37.576,14,"bicycle:0, motorcycle:4, person:10"
26,0.867,baseline,0+1+2,ebike+driver+passenger,25.107,39.829,0,"ebike:0, driver:0, passenger:0"
26,0.867,bifpn,0+1+2,ebike+driver+passenger,25.684,38.934,0,"ebike:0, driver:0, passenger:0"
26,0.867,yolov8n,1+3+0,bicycle+motorcycle+person,26.653,37.520,12,"bicycle:0, motorcycle:4, person:8"
27,0.900,baseline,0+1+2,ebike+driver+passenger,25.468,39.264,0,"ebike:0, driver:0, passenger:0"
27,0.900,bifpn,0+1+2,ebike+driver+passenger,25.141,39.776,0,"ebike:0, driver:0, passenger:0"
27,0.900,yolov8n,1+3+0,bicycle+motorcycle+person,25.936,38.557,11,"bicycle:0, motorcycle:4, person:7"
28,0.933,baseline,0+1+2,ebike+driver+passenger,25.302,39.523,0,"ebike:0, driver:0, passenger:0"
28,0.933,bifpn,0+1+2,ebike+driver+passenger,23.331,42.861,0,"ebike:0, driver:0, passenger:0"
28,0.933,yolov8n,1+3+0,bicycle+motorcycle+person,24.019,41.634,12,"bicycle:0, motorcycle:4, person:8"
29,0.967,baseline,0+1+2,ebike+driver+passenger,26.315,38.002,0,"ebike:0, driver:0, passenger:0"
29,0.967,bifpn,0+1+2,ebike+driver+passenger,25.650,38.987,0,"ebike:0, driver:0, passenger:0"
29,0.967,yolov8n,1+3+0,bicycle+motorcycle+person,27.123,36.870,13,"bicycle:0, motorcycle:5, person:8"
30,1.000,baseline,0+1+2,ebike+driver+passenger,24.623,40.613,0,"ebike:0, driver:0, passenger:0"
30,1.000,bifpn,0+1+2,ebike+driver+passenger,26.818,37.289,0,"ebike:0, driver:0, passenger:0"
30,1.000,yolov8n,1+3+0,bicycle+motorcycle+person,25.608,39.050,16,"bicycle:0, motorcycle:4, person:12"
31,1.033,baseline,0+1+2,ebike+driver+passenger,24.629,40.603,0,"ebike:0, driver:0, passenger:0"
31,1.033,bifpn,0+1+2,ebike+driver+passenger,24.768,40.375,0,"ebike:0, driver:0, passenger:0"
31,1.033,yolov8n,1+3+0,bicycle+motorcycle+person,27.177,36.796,15,"bicycle:0, motorcycle:5, person:10"
32,1.067,baseline,0+1+2,ebike+driver+passenger,26.464,37.788,0,"ebike:0, driver:0, passenger:0"
32,1.067,bifpn,0+1+2,ebike+driver+passenger,24.387,41.005,0,"ebike:0, driver:0, passenger:0"
32,1.067,yolov8n,1+3+0,bicycle+motorcycle+person,27.848,35.909,14,"bicycle:0, motorcycle:5, person:9"
33,1.100,baseline,0+1+2,ebike+driver+passenger,25.680,38.942,0,"ebike:0, driver:0, passenger:0"
33,1.100,bifpn,0+1+2,ebike+driver+passenger,26.903,37.171,0,"ebike:0, driver:0, passenger:0"
33,1.100,yolov8n,1+3+0,bicycle+motorcycle+person,27.563,36.281,13,"bicycle:0, motorcycle:4, person:9"
34,1.133,baseline,0+1+2,ebike+driver+passenger,25.223,39.647,0,"ebike:0, driver:0, passenger:0"
34,1.133,bifpn,0+1+2,ebike+driver+passenger,25.228,39.639,0,"ebike:0, driver:0, passenger:0"
34,1.133,yolov8n,1+3+0,bicycle+motorcycle+person,27.424,36.464,16,"bicycle:0, motorcycle:5, person:11"
35,1.167,baseline,0+1+2,ebike+driver+passenger,25.740,38.850,0,"ebike:0, driver:0, passenger:0"
35,1.167,bifpn,0+1+2,ebike+driver+passenger,24.758,40.391,0,"ebike:0, driver:0, passenger:0"
35,1.167,yolov8n,1+3+0,bicycle+motorcycle+person,27.651,36.165,15,"bicycle:0, motorcycle:6, person:9"
36,1.200,baseline,0+1+2,ebike+driver+passenger,26.465,37.786,0,"ebike:0, driver:0, passenger:0"
36,1.200,bifpn,0+1+2,ebike+driver+passenger,24.117,41.465,0,"ebike:0, driver:0, passenger:0"
36,1.200,yolov8n,1+3+0,bicycle+motorcycle+person,26.759,37.371,14,"bicycle:0, motorcycle:6, person:8"
37,1.233,baseline,0+1+2,ebike+driver+passenger,26.667,37.499,0,"ebike:0, driver:0, passenger:0"
37,1.233,bifpn,0+1+2,ebike+driver+passenger,25.985,38.484,0,"ebike:0, driver:0, passenger:0"
37,1.233,yolov8n,1+3+0,bicycle+motorcycle+person,28.945,34.548,15,"bicycle:0, motorcycle:6, person:9"
38,1.267,baseline,0+1+2,ebike+driver+passenger,25.771,38.804,0,"ebike:0, driver:0, passenger:0"
38,1.267,bifpn,0+1+2,ebike+driver+passenger,25.381,39.399,0,"ebike:0, driver:0, passenger:0"
38,1.267,yolov8n,1+3+0,bicycle+motorcycle+person,28.626,34.933,15,"bicycle:0, motorcycle:7, person:8"
39,1.300,baseline,0+1+2,ebike+driver+passenger,26.194,38.177,0,"ebike:0, driver:0, passenger:0"
39,1.300,bifpn,0+1+2,ebike+driver+passenger,24.640,40.585,0,"ebike:0, driver:0, passenger:0"
39,1.300,yolov8n,1+3+0,bicycle+motorcycle+person,27.585,36.252,15,"bicycle:0, motorcycle:7, person:8"
40,1.333,baseline,0+1+2,ebike+driver+passenger,28.501,35.087,0,"ebike:0, driver:0, passenger:0"
40,1.333,bifpn,0+1+2,ebike+driver+passenger,25.272,39.570,0,"ebike:0, driver:0, passenger:0"
40,1.333,yolov8n,1+3+0,bicycle+motorcycle+person,24.745,40.412,16,"bicycle:0, motorcycle:6, person:10"
41,1.367,baseline,0+1+2,ebike+driver+passenger,25.555,39.131,0,"ebike:0, driver:0, passenger:0"
41,1.367,bifpn,0+1+2,ebike+driver+passenger,25.724,38.875,0,"ebike:0, driver:0, passenger:0"
41,1.367,yolov8n,1+3+0,bicycle+motorcycle+person,27.344,36.571,15,"bicycle:0, motorcycle:6, person:9"
42,1.400,baseline,0+1+2,ebike+driver+passenger,26.201,38.166,0,"ebike:0, driver:0, passenger:0"
42,1.400,bifpn,0+1+2,ebike+driver+passenger,25.866,38.661,0,"ebike:0, driver:0, passenger:0"
42,1.400,yolov8n,1+3+0,bicycle+motorcycle+person,27.492,36.374,16,"bicycle:0, motorcycle:7, person:9"
43,1.433,baseline,0+1+2,ebike+driver+passenger,26.652,37.520,0,"ebike:0, driver:0, passenger:0"
43,1.433,bifpn,0+1+2,ebike+driver+passenger,27.989,35.728,0,"ebike:0, driver:0, passenger:0"
43,1.433,yolov8n,1+3+0,bicycle+motorcycle+person,27.833,35.928,16,"bicycle:0, motorcycle:7, person:9"
44,1.467,baseline,0+1+2,ebike+driver+passenger,26.646,37.529,0,"ebike:0, driver:0, passenger:0"
44,1.467,bifpn,0+1+2,ebike+driver+passenger,25.973,38.502,0,"ebike:0, driver:0, passenger:0"
44,1.467,yolov8n,1+3+0,bicycle+motorcycle+person,27.648,36.169,18,"bicycle:0, motorcycle:7, person:11"
45,1.500,baseline,0+1+2,ebike+driver+passenger,23.658,42.269,0,"ebike:0, driver:0, passenger:0"
45,1.500,bifpn,0+1+2,ebike+driver+passenger,33.804,29.582,0,"ebike:0, driver:0, passenger:0"
45,1.500,yolov8n,1+3+0,bicycle+motorcycle+person,24.809,40.308,16,"bicycle:0, motorcycle:7, person:9"
46,1.533,baseline,0+1+2,ebike+driver+passenger,25.553,39.134,0,"ebike:0, driver:0, passenger:0"
46,1.533,bifpn,0+1+2,ebike+driver+passenger,25.757,38.824,0,"ebike:0, driver:0, passenger:0"
46,1.533,yolov8n,1+3+0,bicycle+motorcycle+person,25.524,39.179,17,"bicycle:0, motorcycle:7, person:10"
47,1.567,baseline,0+1+2,ebike+driver+passenger,27.250,36.697,0,"ebike:0, driver:0, passenger:0"
47,1.567,bifpn,0+1+2,ebike+driver+passenger,24.446,40.906,0,"ebike:0, driver:0, passenger:0"
47,1.567,yolov8n,1+3+0,bicycle+motorcycle+person,27.249,36.699,17,"bicycle:0, motorcycle:7, person:10"
48,1.600,baseline,0+1+2,ebike+driver+passenger,27.476,36.396,0,"ebike:0, driver:0, passenger:0"
48,1.600,bifpn,0+1+2,ebike+driver+passenger,24.102,41.490,0,"ebike:0, driver:0, passenger:0"
48,1.600,yolov8n,1+3+0,bicycle+motorcycle+person,24.247,41.242,17,"bicycle:0, motorcycle:7, person:10"
49,1.633,baseline,0+1+2,ebike+driver+passenger,26.231,38.122,0,"ebike:0, driver:0, passenger:0"
49,1.633,bifpn,0+1+2,ebike+driver+passenger,24.149,41.409,0,"ebike:0, driver:0, passenger:0"
49,1.633,yolov8n,1+3+0,bicycle+motorcycle+person,25.901,38.608,17,"bicycle:0, motorcycle:7, person:10"
50,1.667,baseline,0+1+2,ebike+driver+passenger,24.268,41.206,0,"ebike:0, driver:0, passenger:0"
50,1.667,bifpn,0+1+2,ebike+driver+passenger,24.967,40.053,0,"ebike:0, driver:0, passenger:0"
50,1.667,yolov8n,1+3+0,bicycle+motorcycle+person,25.416,39.345,18,"bicycle:0, motorcycle:7, person:11"
51,1.700,baseline,0+1+2,ebike+driver+passenger,25.056,39.911,0,"ebike:0, driver:0, passenger:0"
51,1.700,bifpn,0+1+2,ebike+driver+passenger,25.691,38.924,0,"ebike:0, driver:0, passenger:0"
