frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
0,0.000,baseline,0+1+2,ebike+driver+passenger,59.270,16.872,0,"ebike:0, driver:0, passenger:0"
0,0.000,bifpn,0+1+2,ebike+driver+passenger,58.603,17.064,0,"ebike:0, driver:0, passenger:0"
0,0.000,yolov8n,1+3+0,bicycle+motorcycle+person,60.984,16.398,44,"bicycle:0, motorcycle:19, person:25"
1,0.033,baseline,0+1+2,ebike+driver+passenger,62.122,16.097,0,"ebike:0, driver:0, passenger:0"
1,0.033,bifpn,0+1+2,ebike+driver+passenger,61.586,16.237,0,"ebike:0, driver:0, passenger:0"
1,0.033,yolov8n,1+3+0,bicycle+motorcycle+person,68.028,14.700,47,"bicycle:0, motorcycle:21, person:26"
2,0.067,baseline,0+1+2,ebike+driver+passenger,62.953,15.885,0,"ebike:0, driver:0, passenger:0"
2,0.067,bifpn,0+1+2,ebike+driver+passenger,69.477,14.393,0,"ebike:0, driver:0, passenger:0"
2,0.067,yolov8n,1+3+0,bicycle+motorcycle+person,72.358,13.820,50,"bicycle:0, motorcycle:22, person:28"
3,0.100,baseline,0+1+2,ebike+driver+passenger,67.373,14.843,0,"ebike:0, driver:0, passenger:0"
3,0.100,bifpn,0+1+2,ebike+driver+passenger,69.465,14.396,0,"ebike:0, driver:0, passenger:0"
3,0.100,yolov8n,1+3+0,bicycle+motorcycle+person,68.558,14.586,47,"bicycle:0, motorcycle:22, person:25"
4,0.133,baseline,0+1+2,ebike+driver+passenger,65.421,15.286,0,"ebike:0, driver:0, passenger:0"
4,0.133,bifpn,0+1+2,ebike+driver+passenger,80.022,12.497,0,"ebike:0, driver:0, passenger:0"
4,0.133,yolov8n,1+3+0,bicycle+motorcycle+person,75.120,13.312,43,"bicycle:0, motorcycle:15, person:28"
5,0.167,baseline,0+1+2,ebike+driver+passenger,69.778,14.331,0,"ebike:0, driver:0, passenger:0"
5,0.167,bifpn,0+1+2,ebike+driver+passenger,67.327,14.853,0,"ebike:0, driver:0, passenger:0"
5,0.167,yolov8n,1+3+0,bicycle+motorcycle+person,74.571,13.410,44,"bicycle:0, motorcycle:18, person:26"
6,0.200,baseline,0+1+2,ebike+driver+passenger,86.435,11.569,0,"ebike:0, driver:0, passenger:0"
6,0.200,bifpn,0+1+2,ebike+driver+passenger,70.892,14.106,0,"ebike:0, driver:0, passenger:0"
6,0.200,yolov8n,1+3+0,bicycle+motorcycle+person,73.187,13.664,39,"bicycle:0, motorcycle:16, person:23"
7,0.233,baseline,0+1+2,ebike+driver+passenger,68.265,14.649,0,"ebike:0, driver:0, passenger:0"
7,0.233,bifpn,0+1+2,ebike+driver+passenger,67.805,14.748,0,"ebike:0, driver:0, passenger:0"
7,0.233,yolov8n,1+3+0,bicycle+motorcycle+person,71.463,13.993,38,"bicycle:0, motorcycle:16, person:22"
8,0.267,baseline,0+1+2,ebike+driver+passenger,63.961,15.635,0,"ebike:0, driver:0, passenger:0"
8,0.267,bifpn,0+1+2,ebike+driver+passenger,66.489,15.040,0,"ebike:0, driver:0, passenger:0"
8,0.267,yolov8n,1+3+0,bicycle+motorcycle+person,67.072,14.909,38,"bicycle:0, motorcycle:16, person:22"
9,0.300,baseline,0+1+2,ebike+driver+passenger,63.539,15.738,0,"ebike:0, driver:0, passenger:0"
9,0.300,bifpn,0+1+2,ebike+driver+passenger,64.570,15.487,0,"ebike:0, driver:0, passenger:0"
9,0.300,yolov8n,1+3+0,bicycle+motorcycle+person,67.980,14.710,37,"bicycle:0, motorcycle:16, person:21"
10,0.333,baseline,0+1+2,ebike+driver+passenger,64.355,15.539,0,"ebike:0, driver:0, passenger:0"
10,0.333,bifpn,0+1+2,ebike+driver+passenger,64.548,15.492,0,"ebike:0, driver:0, passenger:0"
10,0.333,yolov8n,1+3+0,bicycle+motorcycle+person,69.505,14.387,41,"bicycle:0, motorcycle:21, person:20"
11,0.367,baseline,0+1+2,ebike+driver+passenger,68.307,14.640,0,"ebike:0, driver:0, passenger:0"
