frame,timestamp_sec,model,model_path,class_id,class_name,report_conf,predict_conf,imgsz,iou,elapsed_ms,fps,detections,max_conf
0,0.000,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.693,42.207,0,0.000
0,0.000,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.693,42.207,0,0.000
0,0.000,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.693,42.207,0,0.000
0,0.000,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.424,44.596,0,0.000
0,0.000,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.424,44.596,0,0.000
0,0.000,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.424,44.596,0,0.000
1,0.033,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.976,45.504,0,0.000
1,0.033,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.976,45.504,0,0.000
1,0.033,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.976,45.504,0,0.000
1,0.033,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.587,44.273,0,0.000
1,0.033,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.587,44.273,0,0.000
1,0.033,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.587,44.273,0,0.000
2,0.067,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.960,45.537,0,0.000
2,0.067,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.960,45.537,0,0.000
2,0.067,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.960,45.537,0,0.000
2,0.067,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,21.826,45.818,0,0.000
2,0.067,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,21.826,45.818,0,0.000
2,0.067,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,21.826,45.818,0,0.000
3,0.100,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.804,45.863,0,0.000
3,0.100,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.804,45.863,0,0.000
3,0.100,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.804,45.863,0,0.000
3,0.100,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.627,40.607,0,0.000
3,0.100,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.627,40.607,0,0.000
3,0.100,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.627,40.607,0,0.000
4,0.133,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.457,42.631,0,0.000
4,0.133,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.457,42.631,0,0.000
4,0.133,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.457,42.631,0,0.000
4,0.133,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.554,44.338,0,0.000
4,0.133,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.554,44.338,0,0.000
4,0.133,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.554,44.338,0,0.000
5,0.167,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.894,41.852,0,0.000
5,0.167,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.894,41.852,0,0.000
5,0.167,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.894,41.852,0,0.000
5,0.167,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.610,44.227,0,0.000
5,0.167,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.610,44.227,0,0.000
5,0.167,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.610,44.227,0,0.000
6,0.200,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.389,44.664,0,0.000
6,0.200,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.389,44.664,0,0.000
6,0.200,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.389,44.664,0,0.000
6,0.200,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.080,45.289,0,0.000
6,0.200,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.080,45.289,0,0.000
6,0.200,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.080,45.289,0,0.000
7,0.233,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.625,44.199,0,0.000
7,0.233,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.625,44.199,0,0.000
7,0.233,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.625,44.199,0,0.000
7,0.233,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.134,45.180,0,0.000
7,0.233,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.134,45.180,0,0.000
7,0.233,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.134,45.180,0,0.000
8,0.267,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.492,46.529,0,0.000
8,0.267,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.492,46.529,0,0.000
8,0.267,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.492,46.529,0,0.000
8,0.267,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,21.431,46.662,0,0.000
8,0.267,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,21.431,46.662,0,0.000
8,0.267,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,21.431,46.662,0,0.000
9,0.300,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.360,44.722,0,0.000
9,0.300,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.360,44.722,0,0.000
9,0.300,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.360,44.722,0,0.000
9,0.300,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.228,44.988,0,0.000
9,0.300,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.228,44.988,0,0.000
9,0.300,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.228,44.988,0,0.000
10,0.333,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.949,43.574,0,0.000
10,0.333,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.949,43.574,0,0.000
10,0.333,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.949,43.574,0,0.000
10,0.333,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,21.865,45.736,0,0.000
10,0.333,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,21.865,45.736,0,0.000
10,0.333,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,21.865,45.736,0,0.000
11,0.367,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.918,43.634,1,0.065
11,0.367,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.918,43.634,0,0.000
11,0.367,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.918,43.634,0,0.000
11,0.367,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,21.382,46.768,0,0.000
11,0.367,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,21.382,46.768,0,0.000
11,0.367,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,21.382,46.768,0,0.000
12,0.400,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.055,43.375,0,0.000
12,0.400,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.055,43.375,0,0.000
12,0.400,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.055,43.375,0,0.000
12,0.400,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.711,42.174,0,0.000
12,0.400,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.711,42.174,0,0.000
12,0.400,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.711,42.174,0,0.000
13,0.433,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.564,40.709,1,0.062
13,0.433,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.564,40.709,0,0.000
13,0.433,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.564,40.709,0,0.000
13,0.433,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.017,41.636,0,0.000
13,0.433,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.017,41.636,0,0.000
13,0.433,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.017,41.636,0,0.000
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.446,42.651,1,0.054
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.446,42.651,0,0.000
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.446,42.651,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.715,42.168,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.715,42.168,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.715,42.168,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.039,41.598,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.039,41.598,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.039,41.598,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.822,43.817,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.822,43.817,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.822,43.817,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.895,41.850,0,0.000
17,0.567,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.895,41.850,0,0.000
