video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,0,0.000,1,motorcycle,0.850,190.2 365.6 539.2 644.6,1,1.098,0,0,39.608,25.248
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,0,0.000,2,motorcycle,0.793,533.9 349.2 635.2 428.4,1,1.200,0,0,39.608,25.248
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,1,0.033,2,motorcycle,0.798,534.3 348.1 636.0 427.6,1,1.200,0,0,24.760,40.388
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,1,0.033,1,motorcycle,0.787,203.7 368.3 543.1 649.0,1,1.086,0,0,24.760,40.388
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,2,0.067,1,motorcycle,0.857,229.2 380.1 556.6 639.6,1,1.200,0,0,28.335,35.292
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,2,0.067,2,motorcycle,0.811,537.8 350.5 640.9 428.0,0,,0,0,28.335,35.292
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,3,0.100,1,motorcycle,0.778,277.1 370.6 585.1 628.5,1,1.200,0,0,27.363,36.546
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,3,0.100,2,motorcycle,0.656,541.0 351.5 648.8 429.0,0,,0,0,27.363,36.546
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,4,0.133,1,motorcycle,0.800,322.5 362.7 608.1 619.1,1,1.138,0,0,27.529,36.325
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,4,0.133,2,motorcycle,0.594,569.1 354.3 655.1 428.9,0,,0,0,27.529,36.325
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,5,0.167,1,motorcycle,0.756,361.0 376.4 636.1 610.3,1,1.180,0,0,28.370,35.249
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,5,0.167,2,motorcycle,0.518,564.9 359.4 662.2 431.0,1,1.200,0,0,28.370,35.249
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,6,0.200,1,motorcycle,0.776,402.7 354.1 658.4 597.6,1,1.200,0,0,27.453,36.426
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,6,0.200,2,motorcycle,0.261,599.4 358.1 668.1 430.8,0,,0,0,27.453,36.426
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,7,0.233,1,motorcycle,0.805,436.6 365.9 679.1 585.9,2,1.200 1.200,1,0,26.997,37.041
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,8,0.267,1,motorcycle,0.746,468.3 361.0 692.6 578.5,1,1.200,0,0,27.839,35.921
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,9,0.300,1,motorcycle,0.756,498.1 367.4 710.3 569.0,1,1.180,0,0,53.279,18.769
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,10,0.333,1,motorcycle,0.801,525.3 372.5 731.4 563.2,1,1.200,0,0,28.662,34.889
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,11,0.367,1,motorcycle,0.722,549.0 365.9 754.9 557.8,1,1.200,0,0,29.914,33.429
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,12,0.400,1,motorcycle,0.690,575.1 366.8 763.2 553.8,1,1.146,0,0,27.007,37.028
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,13,0.433,1,motorcycle,0.753,595.6 368.3 775.9 545.5,1,1.200,0,0,27.645,36.173
