frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
0,0.000,1,motorcycle,0.718,537.3 430.5 766.1 610.9,1,1.200,0,0,32.335,30.927
0,0.000,2,motorcycle,0.591,0.1 423.6 153.3 636.0,1,1.200,0,0,32.335,30.927
0,0.000,3,motorcycle,0.539,346.8 376.6 498.3 480.5,2,1.200 1.174,1,0,32.335,30.927
0,0.000,4,motorcycle,0.368,710.5 379.0 803.9 437.9,2,1.200 1.200,1,0,32.335,30.927
0,0.000,5,motorcycle,0.331,8.6 347.0 286.8 523.1,1,1.200,0,0,32.335,30.927
0,0.000,6,motorcycle,0.279,529.3 378.1 581.7 434.4,1,1.200,0,0,32.335,30.927
1,0.033,1,motorcycle,0.719,537.3 430.6 766.1 610.9,1,1.200,0,0,24.909,40.147
1,0.033,3,motorcycle,0.558,347.4 376.4 498.3 480.5,2,1.200 1.182,1,1,24.909,40.147
1,0.033,2,motorcycle,0.470,0.1 401.1 163.6 631.4,0,,0,0,24.909,40.147
1,0.033,4,motorcycle,0.370,710.5 379.0 803.8 437.9,2,1.200 1.200,1,1,24.909,40.147
1,0.033,6,motorcycle,0.283,529.3 378.2 581.7 434.4,1,1.200,0,0,24.909,40.147
1,0.033,5,motorcycle,0.262,1.6 342.4 287.1 521.6,1,1.200,0,0,24.909,40.147
2,0.067,1,motorcycle,0.714,537.3 431.0 766.1 610.9,1,1.200,0,0,24.496,40.822
2,0.067,3,motorcycle,0.534,349.3 375.8 498.3 480.2,2,1.200 1.176,1,1,24.496,40.822
2,0.067,2,motorcycle,0.482,0.0 413.4 185.0 626.6,0,,0,0,24.496,40.822
2,0.067,4,motorcycle,0.370,710.5 379.2 803.8 437.9,2,1.200 1.200,1,1,24.496,40.822
2,0.067,5,motorcycle,0.313,23.6 338.1 287.4 520.7,1,1.200,0,0,24.496,40.822
2,0.067,6,motorcycle,0.274,529.4 378.4 581.7 434.3,1,1.200,0,0,24.496,40.822
3,0.100,1,motorcycle,0.709,538.0 430.5 765.8 610.3,1,1.200,0,0,24.673,40.530
3,0.100,3,motorcycle,0.581,347.6 376.4 498.3 480.1,2,1.200 1.176,1,1,24.673,40.530
3,0.100,2,motorcycle,0.508,0.4 368.2 280.6 629.5,1,1.200,0,0,24.673,40.530
3,0.100,4,motorcycle,0.395,710.8 379.4 803.0 437.9,2,1.200 1.200,1,1,24.673,40.530
3,0.100,6,motorcycle,0.274,529.5 378.7 581.5 434.3,1,1.200,0,0,24.673,40.530
4,0.133,1,motorcycle,0.714,537.7 431.6 766.1 609.5,1,1.200,0,0,24.141,41.423
4,0.133,3,motorcycle,0.608,344.4 378.4 498.4 480.7,2,1.200 1.178,1,1,24.141,41.423
4,0.133,2,motorcycle,0.536,1.1 354.5 266.4 640.3,1,1.121,0,0,24.141,41.423
4,0.133,4,motorcycle,0.395,711.3 379.6 802.3 438.0,2,1.200 1.196,1,1,24.141,41.423
4,0.133,6,motorcycle,0.275,529.4 379.5 581.1 434.2,1,1.200,0,0,24.141,41.423
5,0.167,1,motorcycle,0.710,537.8 431.2 766.0 609.1,1,1.200,0,0,23.970,41.719
5,0.167,3,motorcycle,0.554,347.4 377.3 498.4 480.4,2,1.200 1.187,1,1,23.970,41.719
5,0.167,4,motorcycle,0.386,711.7 380.4 802.2 438.0,2,1.200 1.200,1,1,23.970,41.719
5,0.167,2,motorcycle,0.333,0.0 381.6 295.9 638.3,1,1.200,0,0,23.970,41.719
5,0.167,6,motorcycle,0.256,529.6 379.5 581.1 434.2,1,1.200,0,0,23.970,41.719
