image,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
ebike_2020-1022-_jpg.rf.146b15621e1e5801d8348ded98087d14.jpg,baseline,0+1+2,ebike+driver+passenger,29.287,34.144,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1022-_jpg.rf.146b15621e1e5801d8348ded98087d14.jpg,bifpn,0+1+2,ebike+driver+passenger,29.521,33.874,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1022-_jpg.rf.146b15621e1e5801d8348ded98087d14.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,31.540,31.705,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1137-_jpg.rf.10e489537e18ae8805d3bce34f4f218b.jpg,baseline,0+1+2,ebike+driver+passenger,27.385,36.516,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1137-_jpg.rf.10e489537e18ae8805d3bce34f4f218b.jpg,bifpn,0+1+2,ebike+driver+passenger,28.808,34.713,1,"ebike:0, driver:1, passenger:0"
ebike_2020-1137-_jpg.rf.10e489537e18ae8805d3bce34f4f218b.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,29.545,33.847,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1141-_jpg.rf.4336f6cb0085da0bb05bfddeae0460b7.jpg,baseline,0+1+2,ebike+driver+passenger,33.171,30.147,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1141-_jpg.rf.4336f6cb0085da0bb05bfddeae0460b7.jpg,bifpn,0+1+2,ebike+driver+passenger,33.375,29.963,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1141-_jpg.rf.4336f6cb0085da0bb05bfddeae0460b7.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,49.908,20.037,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-118-_jpg.rf.ffdb64b7a4c6fd17e208256b02dcfcea.jpg,baseline,0+1+2,ebike+driver+passenger,32.216,31.040,1,"ebike:1, driver:0, passenger:0"
ebike_2020-118-_jpg.rf.ffdb64b7a4c6fd17e208256b02dcfcea.jpg,bifpn,0+1+2,ebike+driver+passenger,32.099,31.154,1,"ebike:1, driver:0, passenger:0"
ebike_2020-118-_jpg.rf.ffdb64b7a4c6fd17e208256b02dcfcea.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.736,29.642,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-1186-_jpg.rf.73cda63b8398385f784a0e16f1d1b12d.jpg,baseline,0+1+2,ebike+driver+passenger,33.638,29.728,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1186-_jpg.rf.73cda63b8398385f784a0e16f1d1b12d.jpg,bifpn,0+1+2,ebike+driver+passenger,32.824,30.465,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1186-_jpg.rf.73cda63b8398385f784a0e16f1d1b12d.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.934,30.364,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1421-_jpg.rf.a6c80be8b88321aa8fc480216f8c0f0e.jpg,baseline,0+1+2,ebike+driver+passenger,29.663,33.712,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1421-_jpg.rf.a6c80be8b88321aa8fc480216f8c0f0e.jpg,bifpn,0+1+2,ebike+driver+passenger,30.809,32.458,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1421-_jpg.rf.a6c80be8b88321aa8fc480216f8c0f0e.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.037,30.269,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1436-_jpg.rf.1c12993167c1d4b6e627f9b0b772f7ea.jpg,baseline,0+1+2,ebike+driver+passenger,31.551,31.694,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1436-_jpg.rf.1c12993167c1d4b6e627f9b0b772f7ea.jpg,bifpn,0+1+2,ebike+driver+passenger,32.887,30.407,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1436-_jpg.rf.1c12993167c1d4b6e627f9b0b772f7ea.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.289,30.040,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1473-_jpg.rf.b8a00e0f59ef5412a55f699c4bfbeae4.jpg,baseline,0+1+2,ebike+driver+passenger,38.816,25.763,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1473-_jpg.rf.b8a00e0f59ef5412a55f699c4bfbeae4.jpg,bifpn,0+1+2,ebike+driver+passenger,28.127,35.553,0,"ebike:0, driver:0, passenger:0"
