epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.0442,3.23758,5.44087,4.2568,0.00117,0.13557,0.00165,0.00036,3.18719,5.91614,4.18494,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498
2,130.668,3.18861,5.16775,4.18903,0.50933,0.00797,0.0031,0.00065,3.17232,6.32581,4.20435,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413
3,179.704,3.09933,4.77299,4.06596,0.5464,0.08373,0.0289,0.00611,3.13524,5.63672,4.01859,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236
4,225.766,2.9786,4.36838,3.81859,0.57889,0.13158,0.05805,0.01242,2.96293,5.72695,3.78055,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,271.626,2.77177,3.94478,3.52414,0.64031,0.14673,0.10329,0.02527,2.78739,3.32931,3.46729,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,318.698,2.55249,3.56075,3.2375,0.62421,0.18102,0.10353,0.03056,2.65433,2.89917,3.26173,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,365.013,2.37664,3.25242,2.97934,0.6938,0.23206,0.17705,0.0608,2.41115,4.39293,2.88055,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,410.853,2.2321,3.00606,2.77785,0.74347,0.27751,0.244,0.0925,2.25573,2.50756,2.68905,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,456.133,2.10653,2.83217,2.60962,0.25149,0.29295,0.25539,0.10659,2.0531,2.35443,2.5208,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,502.892,2.02921,2.64247,2.45252,0.56483,0.34283,0.32626,0.15477,1.96672,2.03998,2.26341,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,549.654,2.00009,2.52721,2.36402,0.57241,0.34732,0.35916,0.17145,1.85753,2.06565,2.08663,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,596.614,1.92321,2.39386,2.23905,0.38939,0.36685,0.31883,0.15139,1.81259,2.08228,2.1097,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,643.144,1.86421,2.29478,2.15597,0.44884,0.41387,0.42049,0.21835,1.65367,1.83063,1.91577,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,689.7,1.84492,2.22051,2.09835,0.45151,0.48102,0.46733,0.24477,1.68361,1.79737,1.88102,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,736.128,1.79314,2.1164,2.04971,0.5411,0.46579,0.49782,0.24127,1.70158,1.71507,1.92155,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,782.715,1.7379,2.02216,1.96376,0.55361,0.51742,0.51976,0.27154,1.56671,1.56332,1.83694,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,829.016,1.69381,1.96806,1.9185,0.61276,0.51812,0.55912,0.28978,1.54677,1.50089,1.77241,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,875.412,1.68258,1.91429,1.8824,0.56716,0.56653,0.55313,0.30075,1.47436,1.53003,1.71682,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,922.038,1.65059,1.85221,1.84521,0.57649,0.58627,0.59193,0.32028,1.48754,1.439,1.69426,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,969.255,1.64282,1.82562,1.81489,0.60067,0.59112,0.61405,0.32216,1.39428,1.45315,1.64065,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,1016.17,1.58345,1.75033,1.77769,0.60475,0.62146,0.63491,0.34829,1.3929,1.32442,1.59763,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,1063.03,1.59197,1.70267,1.75511,0.63923,0.61587,0.65952,0.35961,1.34662,1.29598,1.57227,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,1110.1,1.57765,1.66914,1.73481,0.63564,0.61933,0.65367,0.35598,1.34151,1.29586,1.56646,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,1157.17,1.54095,1.62283,1.72544,0.62755,0.60869,0.64736,0.35391,1.35155,1.27729,1.56345,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,1204.16,1.52818,1.6009,1.71209,0.6856,0.6255,0.66491,0.36996,1.31737,1.20949,1.53196,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,1251.28,1.5102,1.5838,1.68893,0.69072,0.67474,0.71567,0.39509,1.26681,1.24075,1.5032,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
27,1298.4,1.50769,1.54308,1.67607,0.65242,0.64258,0.69459,0.38351,1.30714,1.2125,1.52255,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
28,1345.51,1.47964,1.51547,1.65466,0.703,0.66981,0.7178,0.39924,1.3127,1.12637,1.51377,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875
29,1392.36,1.46963,1.50122,1.6536,0.74733,0.6675,0.74482,0.40619,1.29227,1.09145,1.48526,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
30,1439.48,1.46089,1.48219,1.63237,0.73967,0.67755,0.72332,0.40099,1.30105,1.18856,1.50523,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,1486.65,1.43854,1.45253,1.60557,0.71349,0.70166,0.7433,0.4209,1.2399,1.08432,1.44276,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,1533.84,1.4296,1.40834,1.59413,0.75955,0.72506,0.77102,0.42514,1.255,1.10477,1.46183,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1580.54,1.43481,1.41026,1.60368,0.74805,0.69216,0.75918,0.4284,1.22394,1.07921,1.42418,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1627.71,1.41396,1.38227,1.57048,0.71993,0.75023,0.78341,0.44353,1.21095,1.05735,1.41902,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1674.39,1.39259,1.36399,1.56802,0.76868,0.67382,0.7536,0.42162,1.23561,1.05849,1.43429,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1720.27,1.38985,1.35509,1.56501,0.70956,0.72947,0.76118,0.43835,1.24311,1.04741,1.40861,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,1766.38,1.37447,1.31439,1.54182,0.7567,0.70611,0.77257,0.4407,1.2101,1.03165,1.39671,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,1812.98,1.36956,1.30768,1.54474,0.76385,0.73594,0.79977,0.45453,1.18229,0.97058,1.37444,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,1860.11,1.35642,1.30034,1.53695,0.75901,0.73803,0.7888,0.45684,1.18923,0.99275,1.38629,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,1907.17,1.34719,1.27133,1.52735,0.78194,0.71496,0.77582,0.4457,1.19163,0.97191,1.38853,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,1953.95,1.35334,1.28572,1.5333,0.76987,0.73436,0.77895,0.45024,1.19814,0.98,1.38777,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,2001.23,1.3409,1.27058,1.51106,0.74794,0.71366,0.77059,0.44176,1.21438,0.99199,1.40993,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,2048.22,1.32966,1.23752,1.50989,0.78678,0.72497,0.7971,0.46457,1.1735,0.9366,1.36087,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
