epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,89.6854,3.26829,5.31641,4.30226,0.00219,0.28469,0.00269,0.00052,3.18029,5.81428,4.2194,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498
2,153.347,3.21892,5.06954,4.22845,0.00239,0.41148,0.00727,0.00136,3.20914,5.87508,4.21274,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413
3,210.588,3.14718,4.69451,4.10231,0.5497,0.03509,0.02435,0.00461,3.22851,6.17069,4.03937,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236
4,266.219,3.00896,4.27033,3.86087,0.55301,0.08931,0.03042,0.00613,3.17608,4.58057,3.92113,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,320.424,2.82271,3.93348,3.59962,0.66559,0.15231,0.12803,0.03527,2.84197,3.3593,3.66427,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,375.32,2.55814,3.58539,3.30767,0.71249,0.22089,0.19701,0.07082,2.55125,3.21025,3.31134,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,429.673,2.36907,3.29577,3.04062,0.69318,0.23684,0.18588,0.07039,2.42195,2.65059,3.06193,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,483.758,2.22438,3.13582,2.83832,0.7251,0.24242,0.21498,0.08137,2.2788,2.4891,2.87036,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,538.047,2.10303,2.94546,2.68028,0.76228,0.27432,0.26644,0.11027,2.1146,2.67271,2.55735,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,593.018,2.0359,2.78503,2.55236,0.42573,0.2918,0.29945,0.12877,1.93355,2.3435,2.39407,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,647.517,1.99993,2.65345,2.44822,0.41861,0.33887,0.29337,0.11751,1.933,2.38214,2.37109,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,698.013,1.93912,2.5345,2.35332,0.44893,0.38863,0.3754,0.1765,1.75736,2.07024,2.15214,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,745.622,1.90747,2.46372,2.30732,0.50331,0.43057,0.42307,0.19486,1.73302,1.96076,2.17372,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,792.753,1.87569,2.35728,2.22157,0.50374,0.48348,0.45341,0.22858,1.65408,1.80872,2.04128,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,838.928,1.81202,2.24262,2.1465,0.49706,0.44664,0.44664,0.22184,1.66963,1.84249,2.02001,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,885.166,1.79507,2.19943,2.10392,0.52983,0.53219,0.52594,0.26758,1.56834,1.67723,1.92567,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,931.239,1.76436,2.15452,2.06963,0.57408,0.54385,0.56316,0.28689,1.50613,1.5761,1.88536,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,977.932,1.73692,2.09385,2.01542,0.59732,0.55634,0.58355,0.30593,1.46778,1.53235,1.82478,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,1024.36,1.72759,2.00421,1.96489,0.53676,0.51695,0.53857,0.28495,1.52813,1.67978,1.87125,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,1070.47,1.70354,1.98565,1.94691,0.59028,0.56615,0.59702,0.32332,1.44775,1.45966,1.78811,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,1116.58,1.64306,1.92664,1.90479,0.65099,0.60705,0.63317,0.33947,1.39636,1.44019,1.7198,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,1163.5,1.65511,1.88288,1.89421,0.66824,0.59443,0.64017,0.34734,1.38731,1.47049,1.71233,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,1210.02,1.64585,1.87047,1.87436,0.66005,0.62387,0.65555,0.35461,1.32485,1.54329,1.64515,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,1256.36,1.61443,1.834,1.86166,0.6735,0.60286,0.6476,0.35235,1.38071,1.39791,1.66678,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,1302.52,1.58156,1.77417,1.80081,0.68081,0.62963,0.67822,0.37629,1.30936,1.31664,1.61759,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,1348.65,1.57357,1.76187,1.79922,0.6704,0.64824,0.68871,0.36826,1.31063,1.33756,1.59743,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
27,1395.56,1.56493,1.71143,1.77659,0.6903,0.64344,0.70812,0.38194,1.31543,1.28712,1.61087,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
28,1442.18,1.56356,1.72012,1.77441,0.69115,0.68322,0.72388,0.40487,1.25716,1.2963,1.54482,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875
29,1488.11,1.53946,1.68131,1.75852,0.70255,0.67757,0.73371,0.4067,1.27632,1.24817,1.54572,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
30,1534.2,1.52228,1.64972,1.73456,0.69508,0.66662,0.73088,0.40242,1.28162,1.1878,1.56897,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,1580.37,1.51749,1.63986,1.72629,0.72582,0.68374,0.75028,0.41357,1.25683,1.1514,1.54347,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,1626.6,1.50328,1.59619,1.70193,0.73307,0.67354,0.73773,0.4131,1.26563,1.18915,1.5283,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1672.7,1.50334,1.58819,1.70471,0.71811,0.70678,0.7514,0.42247,1.23398,1.17938,1.50115,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1719.77,1.47511,1.58321,1.68433,0.71738,0.68305,0.73823,0.41938,1.22732,1.26439,1.50113,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1766.96,1.47241,1.56692,1.68285,0.75883,0.69479,0.77282,0.43901,1.21804,1.14951,1.49181,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1813.68,1.47918,1.54684,1.67583,0.74567,0.67624,0.73522,0.41763,1.28309,1.14858,1.53667,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,1859.31,1.45725,1.50274,1.65757,0.74385,0.70863,0.7719,0.43681,1.21938,1.09881,1.46475,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,1905.3,1.46109,1.49667,1.65284,0.72772,0.70863,0.75558,0.43214,1.20874,1.16755,1.48128,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,1951.23,1.42741,1.46503,1.63326,0.73843,0.72389,0.76887,0.44401,1.20484,1.09194,1.45607,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,1997.33,1.44157,1.47867,1.63276,0.75508,0.70579,0.78437,0.45162,1.19941,1.08158,1.44318,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,2043.8,1.42408,1.46112,1.6231,0.71678,0.74242,0.7688,0.44917,1.1952,1.1492,1.43851,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,2089.98,1.42934,1.45244,1.63237,0.74793,0.72133,0.78679,0.46021,1.18887,1.09059,1.43995,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,2136.59,1.40686,1.42481,1.61238,0.77805,0.72063,0.79793,0.45674,1.1985,1.0474,1.45621,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,2182.42,1.38102,1.40546,1.59106,0.74821,0.7046,0.7788,0.45242,1.17528,1.06315,1.44915,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,2228.09,1.40252,1.3879,1.60002,0.75539,0.73853,0.80629,0.46068,1.17966,1.02522,1.43396,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,2273.93,1.39346,1.37015,1.59311,0.77209,0.75354,0.80682,0.47263,1.14839,1.03011,1.39237,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,2319.44,1.37756,1.37777,1.58181,0.80606,0.71329,0.8128,0.47913,1.14953,1.02736,1.41627,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,2365.05,1.38826,1.39458,1.59907,0.77398,0.73789,0.80601,0.46521,1.1609,1.01361,1.40126,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,2410.64,1.35963,1.36251,1.57851,0.76067,0.74362,0.80507,0.46913,1.15055,1.01538,1.41179,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,2456.33,1.37189,1.36367,1.58378,0.76742,0.75877,0.81018,0.46888,1.15237,0.97434,1.40535,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,2501.6,1.3675,1.33244,1.57119,0.8117,0.74333,0.81524,0.47843,1.13922,1.00168,1.38398,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,2547.61,1.36633,1.34757,1.57745,0.75869,0.7579,0.81262,0.47675,1.15716,0.98933,1.41162,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,2593.79,1.34065,1.32272,1.55444,0.75844,0.76611,0.81732,0.47946,1.14955,0.98217,1.4097,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,2639.77,1.35078,1.34069,1.56317,0.77349,0.75348,0.82011,0.48587,1.12887,1.00428,1.3801,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,2685.49,1.3411,1.32377,1.55407,0.80263,0.75898,0.82497,0.48895,1.12769,0.93516,1.37401,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,2731.4,1.33327,1.2996,1.54998,0.77225,0.76621,0.81695,0.48366,1.12078,0.97576,1.37011,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,2777.1,1.32564,1.29016,1.54019,0.78157,0.75429,0.82231,0.48624,1.11568,0.96582,1.36289,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,2822.91,1.33326,1.27327,1.53717,0.77355,0.75686,0.81165,0.47948,1.13947,0.95518,1.35764,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,2869.86,1.31767,1.27266,1.52992,0.76075,0.77969,0.81767,0.47919,1.12759,0.93439,1.35911,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,2916.5,1.32118,1.27711,1.54215,0.77995,0.76808,0.82655,0.49516,1.11267,0.92661,1.35908,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,2962.2,1.32027,1.27312,1.5354,0.80125,0.76154,0.81979,0.48462,1.12586,0.94711,1.36268,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,3008.03,1.30659,1.26357,1.53302,0.7802,0.77206,0.82141,0.49204,1.11984,0.91131,1.36597,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,3054.06,1.28526,1.21299,1.509,0.76553,0.78236,0.82461,0.48585,1.12634,0.90305,1.3631,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,3100.37,1.2933,1.23011,1.5211,0.77764,0.77356,0.82423,0.49318,1.10783,0.90401,1.35864,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,3146.97,1.28062,1.22289,1.51264,0.78861,0.76829,0.82764,0.48906,1.1218,0.89176,1.36205,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
66,3193.26,1.30385,1.22608,1.51175,0.78492,0.77945,0.82942,0.49015,1.11616,0.89037,1.35541,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,3239,1.28341,1.21578,1.50744,0.81337,0.75814,0.82478,0.49083,1.12629,0.89325,1.36963,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,3285.62,1.2954,1.23841,1.51393,0.77752,0.78426,0.82143,0.49104,1.12558,0.88734,1.36409,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,3331.79,1.28754,1.20623,1.50946,0.7954,0.76981,0.82583,0.49365,1.10294,0.87185,1.35077,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,3377.5,1.27876,1.19663,1.50304,0.78952,0.78335,0.83259,0.49763,1.10859,0.87552,1.3596,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,3423.24,1.27533,1.19574,1.49323,0.77293,0.80743,0.83338,0.50356,1.08889,0.87148,1.33547,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,3469.95,1.28489,1.20423,1.4916,0.79409,0.78259,0.83063,0.50358,1.09265,0.84617,1.34046,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,3515.54,1.25779,1.20246,1.48202,0.78385,0.79507,0.8314,0.50133,1.08834,0.86159,1.33487,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,3561.05,1.27802,1.18434,1.4924,0.79389,0.78744,0.8324,0.50436,1.09599,0.84534,1.34468,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,3607.02,1.25976,1.16894,1.47349,0.79439,0.78098,0.83442,0.50099,1.08917,0.86961,1.34628,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,3652.53,1.24613,1.17508,1.47498,0.77513,0.80042,0.83547,0.5012,1.08311,0.86654,1.33279,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
77,3699.06,1.25435,1.1673,1.48929,0.79263,0.7841,0.82681,0.50021,1.08359,0.85625,1.3321,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,3745.19,1.25078,1.1705,1.46285,0.77214,0.7901,0.8292,0.50354,1.07736,0.84277,1.31888,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,3790.9,1.25752,1.1741,1.47332,0.76951,0.81698,0.83116,0.50629,1.07594,0.85031,1.32188,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,3836.58,1.24185,1.159,1.45383,0.79187,0.77476,0.83314,0.50624,1.07755,0.84209,1.32376,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,3882.75,1.23597,1.1521,1.45868,0.78262,0.78279,0.83885,0.50734,1.07293,0.82561,1.32163,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,3928.7,1.24199,1.13447,1.45903,0.78422,0.77558,0.82785,0.50332,1.07847,0.8389,1.32443,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,3974.67,1.23905,1.13003,1.456,0.7645,0.80689,0.83015,0.50735,1.06947,0.85575,1.32052,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
