epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,73.4583,2.4059,4.85233,2.15538,0.66134,0.1244,0.12742,0.04107,1.85943,3.55413,1.9509,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498
2,126.319,1.71245,3.04621,1.54665,0.59344,0.63885,0.64688,0.32353,1.39767,2.42569,1.48129,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413
3,173.168,1.41735,2.24943,1.34058,0.71936,0.72273,0.78689,0.43413,1.25437,2.10652,1.36704,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236
4,218.112,1.33797,1.9897,1.28525,0.74921,0.78541,0.82278,0.47784,1.111,1.70806,1.26133,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,263.53,1.24856,1.73046,1.23527,0.80179,0.79395,0.84851,0.51797,1.07224,1.29817,1.23603,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,309.813,1.22965,1.57206,1.21808,0.77127,0.81041,0.85011,0.5249,1.05026,1.16704,1.21239,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,355.436,1.17563,1.48037,1.19521,0.81986,0.80727,0.87073,0.53119,1.09437,0.98596,1.22631,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,400.35,1.15376,1.38909,1.17956,0.85139,0.79252,0.87567,0.54093,1.00664,0.92406,1.16873,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,444.617,1.13349,1.31544,1.16928,0.82824,0.81301,0.87847,0.55328,0.98685,0.92716,1.16113,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,490.007,1.11993,1.2285,1.15729,0.84832,0.81517,0.87702,0.55173,1.02677,0.79613,1.21042,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,534.918,1.11547,1.19853,1.1593,0.80964,0.85748,0.87727,0.55615,0.97768,0.79129,1.15618,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,579.467,1.08238,1.11672,1.13517,0.84062,0.83794,0.88534,0.5645,0.96476,0.84569,1.15103,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,625.193,1.0647,1.08313,1.13128,0.86554,0.82321,0.8942,0.56896,0.98234,0.75808,1.17025,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
