epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.9305,1.58252,4.10026,1.52146,0.73806,0.33094,0.27367,0.16309,1.16001,2.8885,1.32654,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498,0.00124494,0.00041498
2,122.868,1.33887,2.60853,1.2915,0.67752,0.69642,0.73746,0.44154,1.04241,1.92482,1.21591,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413,0.00247024,0.000823413
3,169.054,1.25037,2.04297,1.22728,0.73683,0.74047,0.80773,0.49118,1.00305,1.77779,1.19113,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236,0.00367079,0.0012236
4,213.412,1.20597,1.81336,1.19639,0.75241,0.7816,0.83527,0.50404,0.99846,1.4822,1.17153,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,256.857,1.17279,1.63889,1.17555,0.76193,0.78224,0.83149,0.52631,0.96119,1.21699,1.14926,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,300.721,1.13394,1.51051,1.16492,0.81722,0.80562,0.85737,0.54501,0.97609,1.0199,1.15634,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,345.241,1.11739,1.40856,1.15074,0.7925,0.81543,0.8593,0.53833,0.97033,0.93836,1.15613,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,389.817,1.10362,1.29823,1.1402,0.82332,0.82636,0.87,0.55643,0.96183,0.82775,1.14319,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,434.953,1.08598,1.23045,1.13234,0.83189,0.81292,0.89023,0.56792,0.96337,0.7953,1.15677,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,478.904,1.07391,1.1839,1.1251,0.83026,0.84275,0.88718,0.56507,0.9408,0.76296,1.14361,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
