epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.4471,2.29425,5.94476,1.38646,3e-05,0.00168,2e-05,0,1.80222,4.57148,1.12954,0.00123418,0.000411392,0.00123418,0.000411392,0.00123418,0.000411392,0.00123418,0.000411392
2,43.5196,1.83501,4.42795,1.11886,0.66076,0.19982,0.12887,0.0598,1.77598,2.77244,1.12455,0.00243499,0.000811664,0.00243499,0.000811664,0.00243499,0.000811664,0.00243499,0.000811664
3,57.3628,1.7532,3.13747,1.09099,0.68548,0.24944,0.17967,0.08394,1.69502,2.28716,1.05742,0.0035863,0.00119543,0.0035863,0.00119543,0.0035863,0.00119543,0.0035863,0.00119543
4,70.7912,1.67721,2.69274,1.04295,0.43475,0.28629,0.19221,0.09886,1.5972,2.09247,1.02879,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,84.1904,1.60291,2.43947,1.01511,0.69355,0.31994,0.2111,0.10593,1.6154,1.9934,1.01913,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,97.8473,1.60273,2.28708,1.01178,0.70645,0.33504,0.22515,0.11614,1.56512,1.88574,1.00752,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,111.36,1.53138,2.15355,0.98742,0.71806,0.31996,0.23755,0.12053,1.58888,1.85305,1.01322,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,124.899,1.51683,2.09464,0.98865,0.73421,0.31488,0.24018,0.12425,1.57026,1.81458,1.0114,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,138.309,1.46173,1.96199,0.97501,0.75922,0.28363,0.25351,0.13142,1.56264,1.75452,1.00894,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,152.118,1.46865,1.89011,0.96744,0.76242,0.31154,0.26844,0.13911,1.55088,1.69656,1.01038,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,165.877,1.45629,1.78986,0.95871,0.75645,0.29492,0.26645,0.1334,1.53643,1.65707,0.99839,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,179.603,1.42095,1.77592,0.95371,0.76191,0.29129,0.26557,0.13891,1.53304,1.58038,1.00235,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,193.181,1.39025,1.64762,0.94689,0.75633,0.31069,0.25943,0.13711,1.51959,1.52639,0.99261,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,207.276,1.41356,1.62593,0.94959,0.7619,0.32077,0.26117,0.13204,1.57561,1.5784,1.00952,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,220.964,1.39345,1.57902,0.94688,0.74671,0.32751,0.26808,0.13676,1.57043,1.56425,1.0095,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,234.955,1.33955,1.52956,0.9445,0.5583,0.35126,0.26818,0.13687,1.60372,1.5869,1.01724,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,248.957,1.332,1.48343,0.94038,0.28818,0.39219,0.28202,0.14318,1.56123,1.5606,1.00379,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,262.505,1.30753,1.42204,0.93601,0.31575,0.36684,0.29051,0.15164,1.53244,1.50012,0.99704,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,276.058,1.28882,1.37046,0.93421,0.32598,0.33533,0.28947,0.14734,1.56432,1.5248,1.00752,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
20,289.596,1.29895,1.35645,0.9221,0.36105,0.32443,0.29719,0.15763,1.51539,1.55435,0.99264,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
21,302.953,1.29541,1.33867,0.92706,0.41669,0.3024,0.31723,0.16807,1.50878,1.5192,0.99315,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
22,316.605,1.29324,1.35074,0.91589,0.7183,0.29208,0.31803,0.17382,1.51157,1.48552,0.99145,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
23,330.216,1.26245,1.25987,0.90981,0.39726,0.31683,0.31034,0.16455,1.49684,1.55377,0.98802,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
24,343.891,1.25095,1.24469,0.91229,0.33431,0.30216,0.30914,0.16851,1.50842,1.63304,0.99226,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
25,357.466,1.24487,1.23943,0.91064,0.56093,0.33796,0.31459,0.17081,1.54724,1.59723,1.00414,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
26,371.153,1.22801,1.18328,0.90413,0.3147,0.38177,0.32019,0.17119,1.5217,1.52018,1.00015,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
27,384.989,1.21221,1.18249,0.91422,0.63747,0.30681,0.33787,0.18306,1.53185,1.5593,0.9955,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
28,398.94,1.20383,1.1559,0.89953,0.51958,0.33338,0.33951,0.18194,1.5189,1.56206,0.99903,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
29,412.808,1.21939,1.15792,0.89889,0.48292,0.2898,0.33155,0.17607,1.55964,1.6376,1.00322,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
30,426.42,1.18454,1.12479,0.90386,0.75499,0.31283,0.33846,0.18313,1.53856,1.57711,1.0011,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,440.177,1.19734,1.12524,0.8999,0.64628,0.33623,0.34669,0.18604,1.5245,1.56426,0.9972,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,454.238,1.18391,1.10195,0.89212,0.47176,0.30577,0.3357,0.17564,1.53872,1.59154,1.00121,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,468.025,1.186,1.08541,0.89797,0.42543,0.32711,0.33482,0.18313,1.54725,1.60907,1.00458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,482.157,1.15589,1.06193,0.89763,0.75833,0.34422,0.3486,0.18409,1.57457,1.55522,1.00858,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,496.035,1.16031,1.05197,0.88856,0.79713,0.33557,0.34755,0.18663,1.55696,1.5769,1.0046,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,510.237,1.14634,1.04216,0.88671,0.78954,0.32919,0.34851,0.18854,1.5373,1.56452,1.00148,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,523.893,1.1581,1.05234,0.88962,0.69497,0.32578,0.34113,0.18187,1.5377,1.5581,0.998,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,537.973,1.13444,1.04173,0.88511,0.70495,0.32226,0.34908,0.18709,1.51707,1.55863,0.99827,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
39,551.902,1.131,1.04481,0.88457,0.33024,0.42384,0.34344,0.18403,1.5442,1.48917,1.00519,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
40,565.945,1.11189,1.01072,0.88172,0.36409,0.406,0.33634,0.18125,1.54367,1.53158,1.00578,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
41,580.954,1.09361,1.02303,0.88902,0.4312,0.36481,0.33085,0.17269,1.5481,1.60387,1.00866,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
42,594.982,1.06377,0.98383,0.88579,0.43864,0.38188,0.34384,0.16916,1.55288,1.59112,1.00954,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
